Neuron	Degree	DegCenter	Betweeness	Closeness
0	0	0.0000	0.0000	0.0000
1	0	0.0000	0.0000	0.0000
2	0	0.0000	0.0000	0.0000
3	0	0.0000	0.0000	0.0000
4	1	0.0345	0.0000	0.0345
5	1	0.0345	0.0000	0.0345
6	0	0.0000	0.0000	0.0000
7	0	0.0000	0.0000	0.0000
8	1	0.0345	0.0000	0.0345
9	1	0.0345	0.0000	0.0345
10	1	0.0345	0.0000	0.0575
11	2	0.0690	0.0099	0.0784
12	2	0.0690	0.0148	0.0958
13	2	0.0690	0.0148	0.0958
14	2	0.0690	0.0099	0.0784
15	1	0.0345	0.0000	0.0575
16	0	0.0000	0.0000	0.0000
17	0	0.0000	0.0000	0.0000
18	0	0.0000	0.0000	0.0000
19	0	0.0000	0.0000	0.0000
20	0	0.0000	0.0000	0.0000
21	0	0.0000	0.0000	0.0000
22	0	0.0000	0.0000	0.0000
23	1	0.0345	0.0000	0.0460
24	2	0.0690	0.0025	0.0690
25	1	0.0345	0.0000	0.0460
26	1	0.0345	0.0000	0.0460
27	2	0.0690	0.0025	0.0690
28	1	0.0345	0.0000	0.0460
29	0	0.0000	0.0000	0.0000
