Neuron	Degree	DegCenter	Betweeness	Closeness
0	0	0.0000	0.0000	0.0000
1	0	0.0000	0.0000	0.0000
2	0	0.0000	0.0000	0.0000
3	0	0.0000	0.0000	0.0000
4	0	0.0000	0.0000	0.0000
5	0	0.0000	0.0000	0.0000
6	0	0.0000	0.0000	0.0000
7	0	0.0000	0.0000	0.0000
8	0	0.0000	0.0000	0.0000
9	0	0.0000	0.0000	0.0000
10	0	0.0000	0.0000	0.0000
11	0	0.0000	0.0000	0.0000
12	0	0.0000	0.0000	0.0000
13	0	0.0000	0.0000	0.0000
14	0	0.0000	0.0000	0.0000
15	0	0.0000	0.0000	0.0000
16	5	0.1724	0.0000	0.2158
17	5	0.1724	0.0000	0.2158
18	5	0.1724	0.0000	0.2158
19	7	0.2414	0.0112	0.2775
20	8	0.2759	0.0249	0.3067
21	8	0.2759	0.0249	0.3067
22	7	0.2414	0.0127	0.2914
23	8	0.2759	0.0306	0.3238
24	8	0.2759	0.0361	0.3238
25	6	0.2069	0.0033	0.2534
26	6	0.2069	0.0033	0.2534
27	6	0.2069	0.0195	0.2534
28	5	0.1724	0.0085	0.2331
29	2	0.0690	0.0000	0.1714
