neuron_idx,TT,unit_idx,latency_s,latency_ms
0.000000,1.000000,0.000000,0.057267,57.266667
1.000000,3.000000,0.000000,0.051200,51.200000
2.000000,4.000000,0.000000,0.047100,47.100000
3.000000,5.000000,0.000000,0.066800,66.800000
4.000000,5.000000,1.000000,0.047983,47.983333
5.000000,6.000000,0.000000,0.042433,42.433333
6.000000,7.000000,0.000000,0.037133,37.133333
7.000000,8.000000,0.000000,0.054567,54.566667
8.000000,8.000000,1.000000,0.051367,51.366667
9.000000,8.000000,2.000000,0.048817,48.816667
