neuron_idx,TT,unit_idx,latency_s,latency_ms
0.000000,2.000000,0.000000,0.034533,34.533333
1.000000,3.000000,0.000000,0.016800,16.800000
2.000000,4.000000,0.000000,0.030667,30.666667
3.000000,5.000000,0.000000,0.035067,35.066667
4.000000,5.000000,1.000000,0.048300,48.300000
5.000000,5.000000,2.000000,0.048317,48.316667
6.000000,6.000000,0.000000,0.040200,40.200000
7.000000,7.000000,0.000000,0.043967,43.966667
8.000000,8.000000,0.000000,0.034850,34.850000
9.000000,8.000000,1.000000,0.052250,52.250000
