neuron_idx,TT,unit_idx,latency_s,latency_ms
0.000000,1.000000,0.000000,0.038750,38.750000
1.000000,1.000000,1.000000,0.065567,65.566667
2.000000,1.000000,2.000000,0.058067,58.066667
3.000000,2.000000,0.000000,0.050567,50.566667
4.000000,2.000000,1.000000,0.057333,57.333333
5.000000,3.000000,0.000000,0.048517,48.516667
6.000000,3.000000,1.000000,0.057283,57.283333
7.000000,4.000000,0.000000,0.035667,35.666667
8.000000,4.000000,1.000000,0.049767,49.766667
9.000000,6.000000,0.000000,0.042933,42.933333
10.000000,6.000000,1.000000,0.053367,53.366667
11.000000,7.000000,0.000000,0.053667,53.666667
12.000000,7.000000,1.000000,0.046633,46.633333
